兩側車窗氣囊,,,,,,電動收摺後視鏡 (附上鎖手動收摺功能),,,,電動玻璃天窗含防夾制機能,,,,音響系統CD/DVD,,駕駛座8向電動座椅,,動態穩定系統標配,,Galateia 19 吋鋁合金輪圈,空調系統含粉塵濾網,,,,皮質座椅材質,停車輔助系統（前6後4）,,RS7專屬三輻式真皮多功能平底跑車方向盤,
門內式氣囊,,,,,,電動收摺後視鏡(附轉向指示燈),,,,電動窗/天窗防夾功能,,,,音響系統DVD,,駕駛座8向電動座椅附腰靠調整,,電子車身動態穩定系統附加RCS車輛防滾系統,,Magni 18 吋鋁合金輪圈,空調系統附粉塵手動過濾裝置,,,,皮質跑車座椅,停車輔助系統附停車導引,,S3專屬平底式賽車多功能方向盤,
門簾式氣囊,,,,,,電動收摺後視鏡附轉向指示燈,,,,電動窗天窗防夾功能,,,,音響系統DVD、CD、MP3,,駕駛座八向電動座椅,,,,Magni18 吋鋁合金輪圈,空調系統附粉塵過濾裝置（自動恒溫）,,,,"全車""Nappa""真皮座椅",停車輔助套件,,S5專屬三輻式真皮多功能平底跑車方向盤,
前 / 後座側氣囊,,,,,,電動收疊後視鏡(附LED方向燈),,,,電動窗防夾：車門+天窗,,,,音響系統DVD/MP3,,駕駛座八向調整電動座椅,,,,Matres 16 吋鋁合金輪圈,前後座鍍鉻空調出風口,,,,有氧舒適皮質座椅（織布）,停車輔助套件含倒車輔助攝影機,,S6 專屬三輻式真皮多功能跑車方向盤,
前後座頭部空氣囊,,,,,,電動折收後視鏡,,,,雙開啟模式電動天窗,,,,音響系統HiFi高傳真、DVD,,駕駛座十向電動調整座椅,,,,Midir Black DC1 吋鋁合金輪圈,前後獨立空調,,,,米色豪華皮質座椅,圖像式後方停車警示系統,,S7專屬三輻式真皮多功能平底跑車方向盤,
前後座簾式頭部空氣囊,,,,,,電動折收調整加熱後視鏡,,,,雙模式防夾電動天窗,,,,音響系統HiFi高傳真/DVD,,駕駛座椅電動調整,,,,Midir Black DC18吋鋁合金輪圈,前座中扶手後方空調出風口,,,,原廠真皮專利座椅,圖像式停車警示系統,,S8專屬三輻式真皮多功能跑車方向盤,
前乘客座Dual Chamber雙球體SRS氣囊,,,,,,電動折疊/電熱除霧門邊後視鏡,,,,雙模式單觸全景式雙天窗附防夾功能,,,,音響系統MP3、DVD,,駕駛座電動座椅記憶功能,,,,Pan 18 吋鋁合金輪圈,前座冷暖空調,,,,座椅包覆（真皮）,圖像式停車警示系統?,,Servotronic車速感應式動力方向盤,
前乘客座頭頸部及骨盆側氣囊,,,,,,電動折疊車側後視鏡,,,,雙模式開啟天窗,,,,音響系統MP3、DVD、CD,,獨立式後座舒適型電動座椅(12向調整),,,,Situla 18 吋鋁合金輪圈,前座空調,,,,座椅包覆真皮,PAC 停車輔助攝影機,,Servotronic車速感應式動力方向盤?,
前座SRS氣囊,,,,,,電動折疊車側後視鏡(附LED轉向指示燈/電動除霧功能),,,,,,,,音響系統MP3、DVD、HiFi 高傳真、CD,,獨立式後座舒適跑車型電動座椅(12向調整),,,,Thalia 18 吋鋁合金輪圈,後座中央空調出風口,,,,座椅材質(ARTICO皮質+織布),,,Servotronic速度感應式動力方向盤,
前座正面氣囊,,,,,,電動折疊門邊後視鏡,,,,,,,,音響系統MP3、harman / kardon、DVD、CD,,雙曲控制第三排電動收折座椅 (電動傾斜可調),,,,Valder 17 吋鋁合金輪圈,後座中央鞍座、B 柱空調及足部出風口,,,,座椅材質(真皮),,,ST方向盤（附四向調整）,
前座氣囊 × 2,,,,,,電動折疊後視鏡,,,,,,,,音響系統MP3、harman/kardon、DVD、CD,,雙前座12向電動調整座椅,,,,Zephyrus 18 吋鋁合金輪圈,後座中央鞍座、B 柱空調出風口,,,,座椅材質-Hexagon 織布/麂皮,,,TT進階真皮多功能跑車方向盤,
前座氣囊 ×2,,,,,,電動折疊後視鏡 (附電動除霧及潑水功能),,,,,,,,音響系統MP3/DVD,,雙前座八向調整電動座椅,,,,十幅式/五幅式17吋鋁合金輪圈,後座中央鞍座、B柱空調及足部出風口,,,,座椅材質皮布雙織,,,三幅四向調整式真皮動力方向盤,
前座側面及骨盆防護氣囊 × 2,,,,,,電動折疊後視鏡（附方向指示燈）,,,,,,,,音響系統MP3/DVD/CD,,雙前座舒適型電動座椅(22向調整),,,,十幅式17吋鋁合金輪圈,後座中央鞍座、B柱空調出風口,,,,座椅材質皮革,,,三幅四向調整式真皮動力多功能方向盤,
前座側面氣囊,,,,,,電動折疊後視鏡(附方向燈指示),,,,,,,,音響系統MP3/DVD/CD/WMA,,雙前座舒適型電動座椅含記憶裝置,,,,近黑色金屬表面處理輪圈,後座冷暖空調出風口,,,,座椅材質真皮,,,三幅四向調整式動力方向盤,
前座側面氣囊 (包含骨盆氣囊),,,,,,電動折疊後視鏡(附電熱除霧功能),,,,,,,,原廠Radio High 音響主機(含硬碟/DVD/CD/M,,雙前座跑車電動調整座椅含駕駛座記憶裝置,,,,特殊黑色超輕量 RAYS? 鍛造合金輪圈,後座空調出風口,,,,座椅材質麂皮,,,三幅四向調整式速度感應動力方向盤,
前座側面氣囊 (含骨盆氣囊),,,,,,電動折疊後視鏡附方向指示燈,,,,,,,,原廠RadioHigh音響主機(含硬碟/DVD/CD/MP3,,雙前座電動座椅,,,,超輕量 RAYS? 鍛造合金輪圈,後座空調出風口?,,,,座椅材質麂皮+皮革,,,三幅四向調整式速度感應動力真皮多功能方向盤,
前座側面氣囊 × 2,,,,,,電動後視鏡（除霧/上鎖後自動收折/電動調整）,,,,,,,,原廠Radio音響主機(含硬碟/DVD/CD/MP3播放功能,,雙前座電動座椅含駕駛座記憶功能,,,,輪圈規格15吋、鋁合金,後座空調控制面板,,,,真皮（含合成麂皮飾件）前座椅,,,三幅四向調整式電子動力輔助方向盤,
前座側氣囊 (含骨盆氣囊),,,,,,電動摺收車門後視鏡,,,,,,,,原廠整合式DVD影音系統,,雙前座電動跑車座椅含駕駛座記憶裝置,,,,輪圈規格16吋、鋁合金,後座專用空調,,,,真皮座椅,,,三幅四向調整式電子動力輔助真皮方向盤,
前座側氣囊 × 2,,,,,,電動摺疊大型後視鏡,,,,,,,,單片 DVD 播放機,,雙前座電動調整座椅含駕駛座記憶裝置,,,,輪圈規格17吋、鋁合金,後座輔助空調出風口,,,,真皮座椅材質,,,三幅四向調整感應動力真皮多功能方向盤,
前座側窗氣囊,,,,,,電動摺疊車外後視鏡,,,,,,,,單片 DVD播放機,,雙前座電動調整跑車座椅含駕駛座記憶裝置,,,,輪圈規格18吋、鋁合金,後座獨立可調式空調系統,,,,高包覆力半皮質運動跑車座椅,,,三幅式+真皮包覆方向盤,
前座側窗氣囊 (V250d Avantgarde 為前後側窗,,,,,,電動摺疊門邊後視鏡(附中控鎖連動功能),,,,,,,,單片DVD,,雙座電動調整座椅含駕駛座記憶裝置,,,,鋁合金輪圈,後座獨立空調,,,,高包覆性跑車座椅(Alcantara?與皮質),,,三幅式方向盤,
前座側窗頭部氣囊 × 2,,,,,,電動摺疊後視鏡,,,,,,,,硬碟與DVD,,雙座電動調整跑車座椅含駕駛座記憶裝置,,,,鋁合金輪圈(7.5 J x 17),後座獨立空調出風口,,,,高級皮質座椅,,,三幅式方向盤（真皮）,
前座側輔助氣囊,,,,,,電動摺疊後視鏡附方向指示燈,,,,,,,,硬碟與DVD 播放,,,,,,,後座獨立空調控制,,,,高級皮質座椅（Nappa級）,,,三幅式真皮方向盤,
前座側邊氣囊 × 2,,,,,,電動調整收納車外後視鏡,,,,,,,,整合式DVD影音娛樂系統（附MP3功能）,,,,,,,後座獨立空調控制系統及出風口,,,,高級絲絨皮質座椅,,,三幅式真皮方向盤/真皮排檔桿,
前座側邊氣囊 ×2 (結合頭頸部/骨盆氣囊),,,,,,電動調整收納車外後視鏡 (附R檔自動向下調整),,,,,,,,觸控式DVD音響主機附防盜密碼,,,,,,,後座環艙空調出風口,,,,高級舒適皮質座椅,,,三幅式真皮包覆軟質方向盤,
前座側邊輔助氣囊,,,,,,電動調整車外後視鏡,,,,,,,,觸控式DVD影音系統(附MP3讀取格式),,,,,,,後座雙區自動恆溫空調,,,,高質感八向手動調整皮質座椅,,,三幅式真皮賽車方向盤,
前座雙氣囊,,,,,,電動調整車側後視鏡,,,,,,,,,,,,,,,恆溫空調,,,,高質感皮質座椅,,,三幅式真皮賽車方向盤(附換檔快撥片),
前座雙輔助氣囊,,,,,,電動調整車側後視鏡(鏡面),,,,,,,,,,,,,,,恆溫空調（附粉塵過瀘裝置）,,,,高質感豪華皮質座椅,,,三幅式高低可調方向盤,
後座SRS 側氣囊,,,,,,電動調整後視鏡,,,,,,,,,,,,,,,恆溫空調3區,,,,頂級跑車真皮座椅,,,三幅式動力方向盤,
後座SRS側氣囊,,,,,,電動調整後視鏡附三組記憶及加熱除霧裝置,,,,,,,,,,,,,,,恆溫空調4區,,,,頂級滾邊軟質透氣真皮座椅,,,三幅式軟質方向盤,
後座側面氣囊,,,,,,電動鏡面調整後視鏡,,,,,,,,,,,,,,,恆溫空調二區,,,,尊貴皮質座椅,,,三幅式軟質方向盤(附音響控制鍵),
後座側邊氣囊 × 2,,,,,,廣角電動收折後視鏡,,,,,,,,,,,,,,,恆溫空調三區,,,,舒適型手動調整皮質座椅,,,三幅式軟質真皮方向盤/真皮排檔桿,
後座側邊氣囊 ×2,,,,,,廣角電動調整車外後視鏡,,,,,,,,,,,,,,,恆溫空調四區,,,,超體感真皮複合座椅,,,三幅真皮四向調整式動力方向盤,
乘客座防潛滑SRS氣囊,,,,,,廣角電動調整車外後視鏡（附電動收摺、加熱除霧、駕駛座端防眩及,,,,,,,,,,,,,,,恆溫空調左右獨立,,,,黑／紅 Recaro? 真皮前座椅,,,三幅真皮四向調整式動力多功能方向盤,
氣囊總數6具,,,,,,雙邊電動折疊調整式後視鏡含自動加熱功能,,,,,,,,,,,,,,,恆溫空調系統,,,,黑色豪華皮質座椅,,,三輻 nappa 真皮方向盤,
側面氣囊 + 側撞防護,,,,,,雙邊電動折疊調整後視鏡含自動加熱功能,,,,,,,,,,,,,,,恆溫空調單區,,,,運動化高包覆性皮質座椅,,,三輻 nappa 真皮多功能 (12 按鍵) 跑車方向盤,
側窗氣囊,,,,,,可調整自動防眩車內後視鏡,,,,,,,,,,,,,,,恆溫空調智慧式電子,,,,運動型皮質/菱格紋織布座椅,,,三輻式 多功能 nappa 真皮方向盤,
側窗頭部氣囊,,,,,,自動防眩車內及車外後視鏡,,,,,,,,,,,,,,,恆溫空調智慧型電子,,,,豪華真皮座椅,,,三輻式平底跑車方向盤,
側窗頭部氣囊 × 2,,,,,,自動防眩車內及駕駛側後視鏡,,,,,,,,,,,,,,,恆溫空調智慧雙區獨立,,,,豪華真皮座椅材質,,,三輻式多功能 nappa 真皮方向盤,
側窗頭部氣囊 ×2,,,,,,自動防眩車內後視鏡,,,,,,,,,,,,,,,恆溫空調標配,,,,德意志高質感皮質設計座椅,,,三輻式多功能 nappa 真皮方向盤 (附換檔撥片),
膝部氣囊,,,,,,自動防眩車內後視鏡及駕駛座側外後視鏡,,,,,,,,,,,,,,,恆溫空調整合式觸控熒幕,,,,Alcantara 類麂皮/真皮,,,三輻式多功能 nappa 真皮方向盤(附換檔撥片),
駕駛及前座乘客側面撞擊輔助氣囊及車頂簾幕式側面撞擊輔助氣囊,,,,,,自動防眩車外後視鏡 (附電熱除霧功能),,,,,,,,,,,,,,,恆溫空調雙區,,,,Alcantara類麂皮/真皮,,,三輻式多功能 nappa 真皮跑車方向盤,
駕駛座 i-SRS 輔助氣囊,,,,,,自動防眩車室後視鏡,,,,,,,,,,,,,,,恆溫空調觸控,,,,Alcantara類麂皮/真皮搭配菱格紋縫線與RS印記,,,三輻式真皮方向盤,
駕駛座、前乘客座之側氣囊,,,,,,自動防眩車側後視鏡,,,,,,,,,,,,,,,陶瓷控制旋鈕 (含音響、空調、iDrive旋鈕及排檔桿),,,,Alcantara類麂皮頂棚,,,三輻式真皮多功能方向盤,
駕駛座/助手座SRS前輔助氣囊,,,,,,自動防眩後視鏡,,,,,,,,,,,,,,,陶瓷控制旋鈕(含音響、空調、iDrive旋鈕及排檔桿),,,,Individual Alcantara麂皮車內頂篷,,,三輻式真皮多功能平底跑車方向盤,
駕駛座SRS 膝部氣囊,,,,,,自動防眩暈車內後視鏡,,,,,,,,,,,,,,,智慧型左右獨立雙區恆溫空調,,,,S印記 Alcantara類麂皮/真皮,,,手動4向方向盤位置調整,
駕駛座SRS前輔助氣囊,,,,,,自動調光車內後視鏡,,,,,,,,,,,,,,,智慧型左右獨立雙區恒溫冷暖空調,,,,內裝 - Grey Shadow 織布/麂皮,,,方向盤 VSi 資訊遙控,
駕駛座SRS膝部氣囊,,,,,,車內自動防眩後視鏡,,,,,,,,,,,,,,,智慧型左右獨立雙區恒溫空調,,,,內裝－Hexagon織布/麂皮,,,方向盤F1 Style變速調整裝置,
駕駛座及前乘客座輔助氣囊,,,,,,車內自動防眩後視鏡(附電子羅盤),,,,,,,,,,,,,,,智慧型恆溫冷暖空調,,,,麂皮/真皮皮質,,,方向盤VSI資訊遙控,
駕駛座正面氣囊,,,,,,車內後視鏡(附自動防眩),,,,,,,,,,,,,,,智慧型恆溫空調,,,,,,,方向盤四向調整功能,
駕駛座連續可變容積i-SRS輔助氣囊,,,,,,防眩車內自動後視鏡,,,,,,,,,,,,,,,智慧型電子恆溫空調,,,,,,,方向盤四向調整功能 (前後 & 上下),
駕駛座與乘客座位側面安全氣囊,,,,,,室內自動防眩後視鏡,,,,,,,,,,,,,,,智慧雙區獨立恆溫空調 ?,,,,,,,方向盤行車記錄資訊控制鍵,
駕駛座輔助氣囊,,,,,,後視鏡自動下潛功能,,,,,,,,,,,,,,,智慧雙區獨立恆溫空調?,,,,,,,方向盤行車資訊控制鍵,
駕駛座膝部SRS氣囊,,,,,,後視鏡自動防眩目,,,,,,,,,,,,,,,智慧雙區獨立恆溫空調系統,,,,,,,方向盤位置調整（手動4向）,
駕駛座膝部SRS輔助氣囊,,,,,,後視鏡自動防眩目手動,,,,,,,,,,,,,,,微電腦恆溫空調,,,,,,,方向盤快控鍵,
駕駛座膝部氣囊,,,,,,後視鏡自動防眩目車內,,,,,,,,,,,,,,,節能空調系統,,,,,,,方向盤快撥鍵(音響/定速/MID控制),
駕駛座膝部氣囊駕駛座膝部SRS氣囊,,,,,,後視鏡自動防眩目車內、車外,,,,,,,,,,,,,,,電子式冷暖空調系統,,,,,,,方向盤定速巡航控制系統,
駕駛座頭頸部及骨盆側氣囊,,,,,,後視鏡自動防眩目車外,,,,,,,,,,,,,,,電子式恆溫控制空調系統,,,,,,,方向盤音響快撥鍵,
頭部氣囊,,,,,,後視鏡自動防眩目標配,,,,,,,,,,,,,,,電子冷暖空調系統,,,,,,,方向盤音響快撥鍵(附夜間照明),
雙車側簾幕式SRS氣囊,,,,,,後視鏡速度感應自動展開,,,,,,,,,,,,,,,豪華型四區獨立恆溫空調系統,,,,,,,方向盤音響控制開關及車速感應式音量控制功能,
雙前/後座車側 SRS 氣囊,,,,,,速度自動感應展開後視鏡,,,,,,,,,,,,,,,豪華型多區自動恆溫空調,,,,,,,方向盤音響控制器,
雙前座 SRS 氣囊,,,,,,電子自動防眩車內後視鏡,,,,,,,,,,,,,,,豪華型多區自動恆溫空調(THERMOTRONIC),,,,,,,方向盤音響控制鍵,
雙前座 SRS 氣囊(附前乘客座手動啟閉開關),,,,,,電子自動防眩後視鏡,,,,,,,,,,,,,,,豪華型多區恆溫空調 (THERMOTRONIC),,,,,,,方向盤音響與i-MID控制鍵,
雙前座 SRS 側氣囊,,,,,,,,,,,,,,,,,,,,,豪華型多區恆溫空調系統,,,,,,,方向盤高低調整功能,
雙前座 SRS 輔助氣囊,,,,,,,,,,,,,,,,,,,,,豪華型自動恆溫空調(THERM0TR0NIC),,,,,,,方向盤控制鍵,
雙前座SRS 氣囊,,,,,,,,,,,,,,,,,,,,,豪華型自動恆溫空調系統,,,,,,,方向盤控制鍵(含觸控顯示),
雙前座SRS 側氣囊,,,,,,,,,,,,,,,,,,,,,豪華型雙區恆溫空調,,,,,,,方向盤控制鍵(含觸控顯示)音響/空調/MID,
雙前座SRS 頭部氣囊,,,,,,,,,,,,,,,,,,,,,標準型恆溫空調,,,,,,,方向盤控制鍵(音響 / MID控制),
雙前座SRS前輔助氣囊,,,,,,,,,,,,,,,,,,,,,標準型恆溫空調(THERMATIC),,,,,,,方向盤控制鍵(音響),
雙前座SRS氣囊,,,,,,,,,,,,,,,,,,,,,標準型恆溫空調系統,,,,,,,方向盤控制鍵（音響/空調/MID）,
雙前座SRS氣囊附助手席閥閉功能,,,,,,,,,,,,,,,,,,,,,標準型雙區自動恆溫空調 (THERMATIC),,,,,,,方向盤控制鍵（音響/空調/MID/藍牙）,
雙前座SRS側氣囊,,,,,,,,,,,,,,,,,,,,,標準型雙區自動恆溫空調(THERMATIC),,,,,,,方向盤控制鍵(音響+MID),
雙前座SRS側輔助氣囊,,,,,,,,,,,,,,,,,,,,,獨立式恆溫控制空調系統,,,,,,,方向盤控制鍵(音響+MID+藍牙),
雙前座SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,獨立式恆溫控制空調系統（三區獨立）,,,,,,,方向盤控制鍵─音響/藍牙/MID/影像顯示,
雙前座SRS頭胸部側氣囊,,,,,,,,,,,,,,,,,,,,,獨立式恆溫控制空調系統（四區獨立）,,,,,,,方向盤控制鍵─音響/藍牙/MID/影像顯示功能,
雙前座正面氣囊,,,,,,,,,,,,,,,,,,,,,獨立式恆溫控制空調系統（左右獨立）,,,,,,,方向盤控制鍵─音響及行車資訊,
雙前座車側 SRS 氣囊,,,,,,,,,,,,,,,,,,,,,獨立式恆溫控制空調系統（雙區獨立）,,,,,,,方向盤換擋快撥桿,
雙前座車側SRS氣囊,,,,,,,,,,,,,,,,,,,,,獨立式雙區電子恆溫空調系,,,,,,,方向盤換擋撥片,
雙前座車側SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,獨立恆溫空調,,,,,,,方向盤換檔,
雙前座兩段式SRS輔助氣囊+雙前座側邊SRS氣囊,,,,,,,,,,,,,,,,,,,,,獨立恆溫空調系統,,,,,,,方向盤換檔裝置,
雙前座空氣囊,,,,,,,,,,,,,,,,,,,,,鍍鉻空調出風口調整紐,,,,,,,方向盤換檔裝置（鋁質換檔撥片）,
雙前座空氣囊 / 雙前座側邊空氣囊?,,,,,,,,,,,,,,,,,,,,,鍍鉻空調出風口調整鈕,,,,,,,方向盤換檔撥片,
雙前座空氣囊/雙前座側邊空氣囊,,,,,,,,,,,,,,,,,,,,,鍍鉻空調出風口調整鍵,,,,,,,方向盤換檔撥桿,
雙前座空氣囊?,,,,,,,,,,,,,,,,,,,,,雙前座空調座椅(可通風/加熱),,,,,,,方向盤電動調整,
雙前座氣囊,,,,,,,,,,,,,,,,,,,,,雙前座空調透氣皮椅,,,,,,,方向盤潛望鏡式多向調整,
雙前座骨盆氣囊,,,,,,,,,,,,,,,,,,,,,雙區分離式恆溫空調系統含活性碳微濾網,,,,,,,方向盤調整,
雙前座側方 SRS 輔助氣囊,,,,,,,,,,,,,,,,,,,,,雙區全自動電子恆溫空調系統,,,,,,,方向盤調整4向,
雙前座側方SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,雙區自動恆溫空調,,,,,,,方向盤調整4向電子,
雙前座側面氣囊,,,,,,,,,,,,,,,,,,,,,雙區自動恆溫空調(THERMATIC),,,,,,,方向盤調整手動,
雙前座側氣囊,,,,,,,,,,,,,,,,,,,,,雙區自動恆溫空調系統,,,,,,,方向盤調整手動4向,
雙前座側輔助氣囊,,,,,,,,,,,,,,,,,,,,,雙區恆溫空調（附粉塵過瀘裝置）,,,,,,,方向盤調整手動四向,
雙前座側簾幕式SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,雙區電子恆溫空調系統 (Climatronic),,,,,,,方向盤調整手動高低,
雙前座側邊SRS氣囊,,,,,,,,,,,,,,,,,,,,,觸控式空調面板,,,,,,,方向盤調整功能 (附音響、藍牙通訊、定速、旅程資訊控制鍵),
雙前座側邊SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,觸控式恆溫空調系統,,,,,,,方向盤調整功能 (附音響、藍牙通訊、定速、旅程資訊控制鍵)（,
雙前座側邊空氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤調整電動,
雙前座側邊空氣囊?,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤調整電動4向,
雙前座智慧型兩階段式SRS氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤整合式音響控制鍵,
雙前座椅側 SRS 氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤聲控/音響控制鍵,
雙前座椅側內置式SRS氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤藍芽控制鍵,
雙前座輔助氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤轉向角度顯示,
雙前座膝部SRS氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,方向盤轉向角度顯示功能,
雙前座膝部SRS氣囊（駕駛座）,,,,,,,,,,,,,,,,,,,,,,,,,,,,可盔縮式方向盤,
雙前座膝部氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可潰縮方向盤、油門踏板,
雙後座SRS側氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可潰縮式方向盤／油門／煞 車踏板,
雙後座椅側內置式SRS氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可潰縮式方向盤/油門/煞車踏板,
雙座空氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可潰縮式方向盤／油門／煞車踏板,
雙座側邊空氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可調式方向盤,
雙側邊簾幕式SRS氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可調式方向盤（四向）,
雙側邊簾幕式SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可調式四向方向盤,
簾幕式車側氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可調式四向真皮方向盤,
簾幕式側方 SRS 輔助氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,可調式高低方向盤,
簾幕式側方SRS輔助氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,四向可調式動力方向盤,
簾幕式輔助氣囊,,,,,,,,,,,,,,,,,,,,,,,,,,,,四向可調電子動力方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四向電動方向盤調整,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四向電動調整方向盤附便利進出功能,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四向調整式動力方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四幅式真皮方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四幅式真皮方向盤（高低前後可調）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四幅式真皮多功能方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四輻式 多功能 nappa 真皮方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,四輻式真皮多功能方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮革方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質方向盤(附音響/定速/免 持通話快撥鍵),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質包覆三幅式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質包覆方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質包覆方向盤/排檔桿,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮質高低可調動力方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能方向盤＋旅程電腦,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能方向盤控制鍵(音響＋MID控制),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能真皮方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能整合式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能整合式方向盤(音響/定速),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多功能整合式方向盤(音響/定速/導航),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多向調整潛望鏡式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,多向調整潛望鏡式方向盤附類金屬飾板,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,車速感應式動力方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,車速感應式動力方向盤 (Direct-Steer),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,車速感應式動力方向盤(Direct-Steer),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,具備方向盤控制鈕的定速控制系統,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,金屬炫銀式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,前後上下可調式EPS電動輔助方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,前後上下可調式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,炫黑真皮方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,炫銀方向盤(附四向調整),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,炫銀方向盤（附四向調整）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,炫銀樣式方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,音響 / MID控制方向盤控制鍵,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,原木銜覆鋁合金方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,時尚式樣方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮/核桃木多功能方向盤材質,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤材質,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤附音響與定速巡航控制鍵,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤附控制鍵,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤附控制鍵（音響 / MID / 藍牙）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤附控制鍵（音響 / MID）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤附控制鍵（音響）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮方向盤與排檔頭,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮木紋方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮包覆3幅式方向盤附類金屬飾板,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮包覆方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮包覆方向盤及排檔桿頭,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮包覆式方向盤/背光方向盤快撥鍵,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮包覆原木方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮多功能方向盤材質,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮動力方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮動力多功能方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮動力輔助多功能方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮軟質方向盤,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,真皮銜覆原木方向盤,
